Step,Training Loss
10,0.4856
20,0.2629
30,0.2967
40,0.1754
50,0.4646
60,0.6555
70,0.6144
80,0.3073
90,1.107
100,2.1765
110,1.5153
120,6.8653
130,1.5944
140,0.8526
150,2.237
160,3.9018
170,7.5133
180,4.3282
190,6.0616
200,23.6021
210,8.4678
220,1.4633
230,11.2159
240,1.6216
250,2.4714
260,2.426
270,1.8553
280,8.3871
290,2.8611
300,9.1909
310,2.2246
320,1.4021
330,2.1529
340,5.3009
350,4.027
360,3.7734
370,0.0175
380,0.9534
390,17.3219
400,8.0694
410,1.4458
420,3.4692
430,0.697
440,3.2811
450,0.7926
460,4.8307
470,2.2478
480,0.9553
490,2.5954
500,0.7402
510,1.3438
520,0.1829
530,1.8391
540,0.4065
550,0.7992
560,0.6953
570,0.0887
580,0.3792
590,0.0062
600,3.8747
610,0.0039
620,0.124
630,0.0173
640,6.3535
650,0.2182
660,0.2145
670,0.0561
680,0.2925
690,1.8833
700,0.3542
710,0.0817
720,0.1683
730,1.7039
740,0.296
750,0.0005
760,11.9945
770,1.7493
780,1.7067
790,0.0033
800,0.0
810,0.2683
820,0.4986
830,1.545
840,0.2563
850,0.0596
860,0.2773
870,0.4506
880,0.7431
890,1.1684
900,0.0
910,0.265
920,0.9324
930,0.0296
940,0.0
950,0.6077
960,0.0572
970,0.0104
980,0.9904
990,1.6436
1000,0.105
1010,0.5031
1020,0.0173
1030,0.0011
1040,0.2306
1050,0.0009
1060,0.0
1070,0.0173
1080,0.0
1090,0.0173
1100,0.0
1110,0.0
1120,0.0
1130,0.0
1140,0.0173
1150,0.0
1160,0.0128
1170,0.0
1180,0.0
1190,0.0
1200,0.0347
1210,0.0613
1220,0.0001
1230,0.0003
1240,2.1412
1250,0.0
1260,0.0173
1270,0.0
1280,0.0
1290,0.0173
1300,0.0
1310,0.0
1320,0.0004
1330,0.0
1340,0.0
1350,0.0
1360,0.0
1370,0.0173
1380,0.0
1390,0.0174
1400,0.0
1410,0.0
1420,0.0
1430,0.0
1440,0.0
1450,0.0001
1460,0.0
1470,0.0
1480,0.0
1490,0.0066
1500,0.0
1510,0.0
1520,0.0173
1530,0.0
1540,0.0173
1550,0.0
1560,0.0
1570,0.0174
1580,0.0
1590,0.0
1600,0.0
1610,0.0
1620,0.0
1630,0.0
1640,0.0
1650,0.0173
1660,0.8747
1670,0.0
1680,0.0
1690,0.0
1700,0.3762
1710,0.0
1720,0.0
1730,0.0
1740,0.0
1750,0.0173
1760,0.0
1770,0.0
1780,0.0173
1790,0.0174
1800,0.0
1810,0.0
1820,0.0
1830,0.0001
1840,0.0
1850,0.0
1860,0.0
1870,0.0
1880,0.0
1890,0.0
1900,0.0
1910,0.0173
1920,0.0035
1930,0.0
1940,0.0
1950,0.0
1960,0.0173
1970,0.0
1980,0.0
1990,0.0173
2000,0.0
